"name","mass_1","mass_1_upper","mass_1_lower","mass_2","mass_2_upper","mass_2_lower","network_snr","distance","distance_upper","distance_lower","chi_eff","chi_eff_upper","chi_eff_lower","total_mass","chirp_mass","chirp_mass_upper","chirp_mass_lower","redshift","redshift_upper","redshift_lower","final_mass","fecha","mes"
"GW170818",35.4,7.5,-4.7,26.7,4.3,-5.2,12,1060,420,-380,-0.09,0.18,-0.21,62.05,26.5,2.1,-1.7,0.21,0.07,-0.07,59.4,2017-08-18 02:25:27,8
"GW170817",1.46,0.12,-0.1,1.27,0.09,-0.09,33,40,7,-15,0,0.02,-0.01,2.96,1.186,0.001,-0.001,0.01,0,0,3,2017-08-17 12:41:22,8
"GW170814",30.6,5.6,-3,25.2,2.8,-4,17.7,600,150,-220,0.07,0.12,-0.12,55.9,24.1,1.4,-1.1,0.12,0.03,-0.04,53.2,2017-08-14 10:31:01,8
"GW170809",35,8.3,-5.9,23.8,5.1,-5.2,12.8,1030,320,-390,0.08,0.17,-0.17,59.08,24.9,2.1,-1.7,0.2,0.05,-0.07,56.3,2017-08-09 08:28:39,8
"GW170729",50.2,16.2,-10.2,34,9.1,-10.1,10.8,2840,1400,-1360,0.37,0.21,-0.25,84.03,35.4,6.5,-4.8,0.49,0.19,-0.21,79.5,2017-07-29 18:56:47,7
"GW170608",11,5.5,-1.7,7.6,1.4,-2.2,15.4,320,120,-110,0.03,0.19,-0.07,18.58,7.9,0.2,-0.2,0.07,0.02,-0.02,17.8,2017-06-08 02:01:34,6
"GW170104",30.8,7.3,-5.6,20,4.9,-4.6,13.8,990,440,-430,-0.04,0.17,-0.21,51.04,21.4,2.2,-1.8,0.2,0.08,-0.08,48.9,2017-01-04 10:12:16,1
"GW151226",13.7,8.8,-3.2,7.7,2.2,-2.5,13.1,450,180,-190,0.18,0.2,-0.12,21.67,8.9,0.3,-0.3,0.09,0.04,-0.04,20.5,2015-12-26 03:39:10,12
"GW151012",23.2,14.9,-5.5,13.6,4.1,-4.8,10,1080,550,-490,0.05,0.31,-0.2,37.2,15.2,2.1,-1.2,0.21,0.09,-0.09,35.6,2015-10-12 09:55:00,10
"GW150914",35.6,4.7,-3.1,30.6,3,-4.4,26,440,150,-170,-0.01,0.12,-0.13,66.16,28.6,1.7,-1.5,0.09,0.03,-0.03,63.1,2015-09-14 09:51:02,9
